V_k_s	V_a_s
0.029	-0.09
1.015	-0.09
2.079	-0.04
3.071	39.32
4.052	67.73
4.238	71.82
4.507	74.88
4.749	76.63
4.897	77.34
5.024	78.38
5.242	78.51
5.536	78.49
5.751	78.17
6.017	77.65
6.514	75.69
7.029	72.06
7.603	67
8.002	63.4
8.56	58.44
9.01	56.19
9.493	54.17
10.03	53.42
10.128	53.8
10.221	54.02
10.52	54.45
11.141	56.87

