Uf,Ui
6870,562
6503,556
6000,545
5507,533
5000,518
4500,500
4002,473
3501,443
3000,384
2496,304
1994,220
1734,192
1490,153
1255,121
1004,92
749,67
508,50
266,32
120,23
61,21
